,ATAC-seq,DNase-seq,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac
ATAC-seq,0.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,inf,4.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,inf,1.0,5.0,inf,4.0,4.0,3.0,3.0
DNase-seq,inf,0.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,inf,4.0,3.0,3.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,4.0,inf,1.0,5.0,inf,4.0,4.0,3.0,3.0
H2AFZ,inf,1.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,inf,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,inf,1.0,3.0,inf,3.0,2.0,1.0,2.0
H2AK5ac,inf,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,inf,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,inf,1.0,3.0,inf,1.0,2.0,1.0,1.0
H2AK9ac,inf,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,inf,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,inf,1.0,2.0,inf,1.0,1.0,2.0,1.0
H2BK120ac,inf,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,inf,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,inf,1.0,2.0,inf,2.0,1.0,1.0,1.0
H2BK12ac,inf,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,inf,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,inf,1.0,3.0,inf,2.0,2.0,1.0,1.0
H2BK15ac,inf,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,inf,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,inf,1.0,2.0,inf,2.0,1.0,1.0,1.0
H2BK20ac,inf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,inf,1.0,2.0,inf,1.0,1.0,1.0,1.0
H2BK5ac,inf,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,inf,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,inf,1.0,2.0,inf,2.0,1.0,1.0,1.0
H3F3A,inf,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,inf,2.0,4.0,inf,3.0,3.0,2.0,2.0
H3K14ac,inf,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,inf,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,inf,1.0,2.0,inf,2.0,1.0,1.0,1.0
H3K18ac,inf,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,inf,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,inf,1.0,2.0,inf,2.0,1.0,1.0,1.0
H3K23ac,inf,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,inf,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,inf,1.0,2.0,inf,1.0,1.0,1.0,1.0
